WTMP,DateTimeStamp,site
30.5,6/25/2018 20:48,fb
30.5,6/25/2018 20:54,fb
30.5,6/25/2018 21:00,fb
30.5,6/25/2018 21:06,fb
30.5,6/25/2018 21:12,fb
30.5,6/25/2018 21:18,fb
30.5,6/25/2018 21:24,fb
30.5,6/26/2018 20:36,fb
30.5,6/26/2018 21:12,fb
30.5,6/26/2018 21:18,fb
30.5,6/26/2018 22:00,fb
30.5,6/26/2018 22:06,fb
30.5,6/27/2018 17:36,fb
30.5,6/27/2018 17:42,fb
30.5,6/29/2018 21:12,fb
30.5,6/29/2018 21:36,fb
30.5,6/30/2018 19:00,fb
30.5,6/30/2018 22:18,fb
30.5,6/30/2018 22:24,fb
30.5,7/1/2018 19:54,fb
30.5,7/1/2018 20:24,fb
30.5,7/1/2018 21:06,fb
30.5,7/1/2018 21:12,fb
30.5,7/1/2018 23:36,fb
30.5,7/1/2018 23:42,fb
30.5,7/2/2018 0:12,fb
30.5,7/2/2018 0:18,fb
30.5,7/2/2018 0:24,fb
30.5,7/2/2018 0:30,fb
30.5,7/2/2018 0:36,fb
30.5,7/2/2018 0:42,fb
30.5,7/2/2018 0:54,fb
30.5,7/2/2018 1:00,fb
30.5,7/2/2018 21:00,fb
30.5,7/2/2018 21:06,fb
30.5,7/2/2018 22:18,fb
30.5,7/2/2018 23:30,fb
30.5,7/2/2018 23:54,fb
30.5,7/3/2018 21:42,fb
30.5,7/3/2018 22:00,fb
30.5,7/3/2018 22:18,fb
30.5,7/3/2018 22:30,fb
30.5,7/3/2018 22:36,fb
30.5,7/3/2018 22:54,fb
30.5,7/3/2018 23:12,fb
30.5,7/3/2018 23:18,fb
30.5,7/3/2018 23:24,fb
30.5,7/5/2018 16:30,fb
30.5,7/5/2018 23:24,fb
30.5,7/5/2018 23:36,fb
30.5,7/5/2018 23:48,fb
30.5,7/5/2018 23:54,fb
30.5,7/6/2018 0:00,fb
30.5,7/6/2018 0:24,fb
30.5,7/6/2018 0:42,fb
30.5,7/6/2018 1:00,fb
30.5,7/6/2018 1:06,fb
30.5,7/6/2018 2:00,fb
30.5,7/6/2018 2:06,fb
30.5,7/6/2018 2:12,fb
30.5,7/6/2018 16:42,fb
30.5,7/6/2018 17:42,fb
30.5,7/6/2018 17:48,fb
30.5,7/6/2018 21:18,fb
30.5,7/6/2018 21:54,fb
30.5,7/6/2018 22:06,fb
30.5,7/6/2018 22:36,fb
30.5,7/6/2018 22:42,fb
30.5,7/6/2018 23:42,fb
30.5,7/6/2018 23:48,fb
30.5,7/6/2018 23:54,fb
30.5,7/7/2018 0:06,fb
30.5,7/7/2018 0:12,fb
30.5,7/7/2018 0:30,fb
30.5,7/7/2018 0:36,fb
30.5,7/7/2018 0:42,fb
30.5,7/7/2018 0:48,fb
30.5,7/7/2018 1:18,fb
30.5,7/7/2018 1:36,fb
30.5,7/7/2018 1:42,fb
30.5,7/7/2018 2:24,fb
30.5,7/7/2018 2:30,fb
30.5,7/7/2018 3:06,fb
30.5,7/7/2018 3:12,fb
30.5,7/7/2018 3:18,fb
30.5,7/7/2018 3:24,fb
30.5,7/7/2018 3:30,fb
30.5,7/7/2018 17:00,fb
30.5,7/7/2018 17:06,fb
30.5,7/7/2018 17:12,fb
30.5,7/7/2018 17:18,fb
30.5,7/7/2018 18:00,fb
30.5,7/7/2018 18:06,fb
30.5,7/7/2018 18:54,fb
30.5,7/12/2018 18:36,fb
30.5,7/12/2018 18:42,fb
30.5,7/12/2018 18:48,fb
30.5,7/28/2018 19:48,fb
30.5,7/28/2018 20:24,fb
30.5,7/28/2018 20:30,fb
30.5,7/28/2018 20:48,fb
30.5,7/28/2018 20:54,fb
30.4,6/22/2018 18:42,fb
30.4,6/23/2018 16:42,fb
30.4,6/23/2018 16:48,fb
30.4,6/23/2018 18:00,fb
30.4,6/23/2018 18:06,fb
30.4,6/23/2018 18:12,fb
30.4,6/23/2018 18:30,fb
30.4,6/23/2018 19:12,fb
30.4,6/23/2018 19:18,fb
30.4,6/24/2018 16:36,fb
30.4,6/24/2018 17:06,fb
30.4,6/24/2018 17:18,fb
30.4,6/24/2018 17:30,fb
30.4,6/24/2018 18:00,fb
30.4,6/24/2018 18:06,fb
30.4,6/24/2018 18:48,fb
30.4,6/24/2018 18:54,fb
30.4,6/24/2018 19:00,fb
30.4,6/24/2018 19:06,fb
30.4,6/24/2018 19:12,fb
30.4,6/24/2018 19:18,fb
30.4,6/25/2018 18:24,fb
30.4,6/25/2018 18:30,fb
30.4,6/25/2018 18:48,fb
30.4,6/25/2018 19:30,fb
30.4,6/25/2018 20:00,fb
30.4,6/25/2018 20:18,fb
30.4,6/25/2018 20:24,fb
30.4,6/25/2018 20:30,fb
30.4,6/25/2018 20:36,fb
30.4,6/25/2018 21:30,fb
30.4,6/26/2018 20:24,fb
30.4,6/26/2018 22:12,fb
30.4,6/27/2018 17:30,fb
30.4,6/27/2018 17:48,fb
30.4,6/27/2018 17:54,fb
30.4,6/27/2018 18:00,fb
30.4,6/27/2018 21:24,fb
30.4,6/27/2018 21:30,fb
30.4,6/29/2018 19:00,fb
30.4,6/29/2018 19:24,fb
30.4,6/29/2018 19:36,fb
30.4,6/29/2018 19:42,fb
30.4,6/29/2018 20:24,fb
30.4,6/29/2018 20:30,fb
30.4,6/29/2018 20:42,fb
30.4,6/29/2018 21:06,fb
30.4,6/29/2018 21:42,fb
30.4,6/29/2018 22:36,fb
30.4,6/29/2018 22:42,fb
30.4,6/30/2018 19:06,fb
30.4,6/30/2018 19:12,fb
30.4,6/30/2018 19:54,fb
30.4,6/30/2018 22:12,fb
30.4,7/1/2018 20:48,fb
30.4,7/1/2018 20:54,fb
30.4,7/1/2018 21:00,fb
30.4,7/1/2018 23:48,fb
30.4,7/2/2018 0:00,fb
30.4,7/2/2018 0:06,fb
30.4,7/2/2018 0:48,fb
30.4,7/2/2018 1:06,fb
30.4,7/2/2018 1:12,fb
30.4,7/2/2018 21:18,fb
30.4,7/2/2018 21:54,fb
30.4,7/2/2018 22:00,fb
30.4,7/2/2018 22:06,fb
30.4,7/2/2018 22:12,fb
30.4,7/3/2018 0:00,fb
30.4,7/3/2018 0:06,fb
30.4,7/3/2018 0:12,fb
30.4,7/3/2018 0:18,fb
30.4,7/3/2018 0:24,fb
30.4,7/3/2018 0:30,fb
30.4,7/3/2018 0:36,fb
30.4,7/3/2018 0:42,fb
30.4,7/3/2018 0:48,fb
30.4,7/3/2018 0:54,fb
30.4,7/3/2018 1:00,fb
30.4,7/3/2018 20:12,fb
30.4,7/3/2018 20:36,fb
30.4,7/3/2018 21:00,fb
30.4,7/3/2018 21:24,fb
30.4,7/3/2018 21:54,fb
30.4,7/3/2018 22:24,fb
30.4,7/3/2018 23:30,fb
30.4,7/3/2018 23:36,fb
30.4,7/3/2018 23:54,fb
30.4,7/4/2018 0:54,fb
30.4,7/5/2018 16:24,fb
30.4,7/5/2018 16:36,fb
30.4,7/5/2018 16:42,fb
30.4,7/5/2018 21:30,fb
30.4,7/5/2018 21:36,fb
30.4,7/5/2018 22:30,fb
30.4,7/5/2018 23:42,fb
30.4,7/6/2018 0:06,fb
30.4,7/6/2018 0:12,fb
30.4,7/6/2018 0:18,fb
30.4,7/6/2018 0:30,fb
30.4,7/6/2018 0:36,fb
30.4,7/6/2018 0:48,fb
30.4,7/6/2018 0:54,fb
30.4,7/6/2018 2:18,fb
30.4,7/6/2018 2:24,fb
30.4,7/6/2018 2:30,fb
30.4,7/6/2018 2:36,fb
30.4,7/6/2018 2:42,fb
30.4,7/6/2018 2:48,fb
30.4,7/6/2018 2:54,fb
30.4,7/6/2018 3:00,fb
30.4,7/6/2018 3:06,fb
30.4,7/6/2018 15:54,fb
30.4,7/6/2018 16:00,fb
30.4,7/6/2018 16:06,fb
30.4,7/6/2018 16:12,fb
30.4,7/6/2018 16:18,fb
30.4,7/6/2018 16:24,fb
30.4,7/6/2018 16:30,fb
30.4,7/6/2018 16:36,fb
30.4,7/6/2018 17:54,fb
30.4,7/6/2018 18:00,fb
30.4,7/6/2018 18:06,fb
30.4,7/6/2018 21:06,fb
30.4,7/6/2018 21:12,fb
30.4,7/6/2018 21:24,fb
30.4,7/6/2018 21:36,fb
30.4,7/6/2018 21:42,fb
30.4,7/6/2018 21:48,fb
30.4,7/6/2018 22:00,fb
30.4,7/6/2018 22:12,fb
30.4,7/6/2018 22:18,fb
30.4,7/6/2018 22:24,fb
30.4,7/6/2018 22:30,fb
30.4,7/6/2018 22:48,fb
30.4,7/6/2018 22:54,fb
30.4,7/6/2018 23:00,fb
30.4,7/6/2018 23:06,fb
30.4,7/6/2018 23:12,fb
30.4,7/6/2018 23:18,fb
30.4,7/6/2018 23:30,fb
30.4,7/6/2018 23:36,fb
30.4,7/7/2018 0:54,fb
30.4,7/7/2018 1:00,fb
30.4,7/7/2018 1:06,fb
